,date,tenor,side,quantity,price
0,2011-06-01,tenor_1,BUY,0.3,102.7
1,2011-06-01,tenor_2,BUY,0.3,116.73
2,2012-02-08,tenor_2,SELL,0.6,116.23
3,2012-02-29,tenor_2,BUY,0.6,121.55
4,2012-03-02,tenor_2,SELL,0.6,126.2
5,2012-03-05,tenor_2,BUY,0.6,123.65
6,2012-07-02,tenor_1,SELL,0.6,84.96
7,2012-07-03,tenor_1,BUY,0.6,83.75
8,2012-07-05,tenor_1,SELL,0.6,87.66
9,2012-07-05,tenor_2,SELL,0.6,100.68
10,2012-07-06,tenor_1,BUY,0.6,87.22
11,2012-07-06,tenor_2,BUY,0.6,100.7
12,2012-07-20,tenor_2,SELL,0.6,107.8
13,2012-07-23,tenor_2,BUY,0.6,106.83
14,2012-08-06,tenor_2,SELL,0.6,108.94
15,2012-08-20,tenor_2,BUY,0.6,113.71
16,2013-04-26,tenor_1,SELL,0.6,93.64
17,2013-04-30,tenor_1,BUY,0.6,94.5
