,date,tenor,side,quantity,price
0,2011-06-01,tenor_1,BUY,0.3,102.7
1,2011-06-01,tenor_2,SELL,0.3,116.73
2,2011-06-24,tenor_2,BUY,0.6,107.26
3,2011-06-27,tenor_2,SELL,0.6,105.12
4,2011-12-14,tenor_1,SELL,0.6,100.14
5,2011-12-15,tenor_1,BUY,0.6,94.95
6,2011-12-15,tenor_2,BUY,0.6,105.02
7,2011-12-16,tenor_2,SELL,0.6,105.09
8,2012-01-04,tenor_1,SELL,0.6,102.96
9,2012-01-05,tenor_1,BUY,0.6,103.22
10,2012-05-18,tenor_2,BUY,0.6,107.49
11,2012-05-21,tenor_2,SELL,0.6,107.14
12,2012-05-31,tenor_2,BUY,0.6,103.47
13,2012-06-01,tenor_2,SELL,0.6,101.87
14,2012-06-04,tenor_2,BUY,0.6,98.43
15,2012-06-05,tenor_2,SELL,0.6,98.85
16,2012-06-21,tenor_2,BUY,0.6,92.69
17,2012-06-25,tenor_2,SELL,0.6,90.98
18,2012-06-29,tenor_2,BUY,0.6,91.36
19,2012-07-02,tenor_1,SELL,0.6,84.96
20,2012-07-02,tenor_2,SELL,0.6,97.8
21,2012-07-03,tenor_1,BUY,0.6,83.75
22,2013-04-16,tenor_2,BUY,0.6,100.39
23,2013-04-17,tenor_2,SELL,0.6,99.91
24,2013-04-18,tenor_2,BUY,0.6,97.69
25,2013-04-19,tenor_2,SELL,0.6,99.13
26,2013-05-02,tenor_2,BUY,0.6,99.95
27,2013-05-03,tenor_2,SELL,0.6,102.85
28,2013-05-30,tenor_2,BUY,0.6,102.43
29,2013-05-31,tenor_2,SELL,0.6,102.19
30,2013-06-11,tenor_2,BUY,0.3,103.95
31,2013-06-12,tenor_2,SELL,0.3,102.96
32,2013-06-21,tenor_2,BUY,0.6,102.15
33,2013-06-25,tenor_2,SELL,0.6,101.16
34,2013-06-26,tenor_2,BUY,0.3,101.26
35,2013-06-27,tenor_2,SELL,0.3,101.66
36,2013-06-28,tenor_1,SELL,0.6,97.05
37,2013-07-01,tenor_1,BUY,0.6,96.56
38,2013-07-02,tenor_1,SELL,0.3,97.99
39,2013-07-03,tenor_1,SELL,0.3,99.6
40,2013-07-09,tenor_1,BUY,0.6,103.14
41,2013-07-11,tenor_1,SELL,0.6,106.52
42,2013-07-12,tenor_1,BUY,0.6,104.91
43,2013-07-15,tenor_1,SELL,0.6,105.95
44,2013-07-16,tenor_1,BUY,0.6,106.32
45,2013-07-19,tenor_1,SELL,0.6,108.04
46,2013-07-23,tenor_1,BUY,0.6,106.91
47,2013-07-24,tenor_1,SELL,0.6,107.23
48,2013-07-25,tenor_1,BUY,0.6,105.39
49,2013-07-26,tenor_1,SELL,0.6,105.49
50,2013-07-29,tenor_1,BUY,0.6,104.7
51,2013-08-01,tenor_1,SELL,0.6,105.03
52,2013-08-05,tenor_1,BUY,0.6,106.94
53,2013-08-12,tenor_1,SELL,0.6,105.97
54,2013-08-13,tenor_1,BUY,0.6,106.11
55,2013-08-28,tenor_1,SELL,0.6,109.01
56,2013-08-29,tenor_1,BUY,0.6,110.1
57,2013-09-19,tenor_1,SELL,0.6,108.07
58,2013-09-20,tenor_1,BUY,0.6,106.39
59,2014-02-19,tenor_1,SELL,0.6,102.43
60,2014-02-20,tenor_1,BUY,0.6,103.31
61,2014-03-04,tenor_1,SELL,0.6,104.92
62,2014-03-05,tenor_1,BUY,0.6,103.33
63,2014-04-03,tenor_2,BUY,0.6,104.79
64,2014-04-04,tenor_2,SELL,0.6,106.15
65,2014-04-09,tenor_1,SELL,0.3,102.56
66,2014-04-10,tenor_1,BUY,0.3,103.6
67,2014-08-13,tenor_2,BUY,0.6,103.02
68,2014-08-14,tenor_2,SELL,0.6,104.28
69,2014-08-19,tenor_2,BUY,0.6,101.6
70,2014-08-20,tenor_2,SELL,0.6,101.56
71,2014-08-21,tenor_2,BUY,0.3,102.28
72,2014-08-22,tenor_2,SELL,0.3,102.63
73,2014-08-25,tenor_2,BUY,0.6,102.29
74,2014-08-26,tenor_2,SELL,0.6,102.65
75,2014-08-27,tenor_2,BUY,0.6,102.5
76,2014-08-28,tenor_2,SELL,0.6,102.72
77,2014-08-29,tenor_2,BUY,0.6,102.46
78,2014-09-02,tenor_2,SELL,0.6,103.19
79,2014-09-05,tenor_2,BUY,0.6,101.83
80,2014-09-08,tenor_2,SELL,0.6,100.82
81,2014-09-11,tenor_2,BUY,0.6,98.04
82,2014-09-17,tenor_1,SELL,0.6,94.88
83,2014-09-18,tenor_1,BUY,0.6,94.42
84,2014-09-30,tenor_1,SELL,0.3,94.57
85,2014-10-01,tenor_1,BUY,0.3,91.16
86,2014-10-17,tenor_1,SELL,0.6,82.7
87,2014-10-20,tenor_1,BUY,0.6,82.75
88,2014-11-17,tenor_1,SELL,0.3,75.82
89,2014-11-18,tenor_1,BUY,0.3,75.64
90,2014-12-02,tenor_1,SELL,0.6,69.0
91,2014-12-02,tenor_2,SELL,0.6,72.54
92,2014-12-03,tenor_1,BUY,0.6,66.88
93,2014-12-03,tenor_2,BUY,0.6,70.54
94,2014-12-18,tenor_2,SELL,0.6,61.18
95,2014-12-19,tenor_2,BUY,0.6,59.27
96,2014-12-22,tenor_1,SELL,0.3,56.52
97,2014-12-22,tenor_2,SELL,0.6,61.38
98,2014-12-23,tenor_1,BUY,0.3,55.26
99,2014-12-23,tenor_2,BUY,0.6,60.11
100,2014-12-24,tenor_2,SELL,0.6,61.69
101,2014-12-26,tenor_2,BUY,0.6,60.24
102,2015-01-15,tenor_1,SELL,0.6,48.48
103,2015-01-15,tenor_2,SELL,0.3,48.69
104,2015-01-16,tenor_1,BUY,0.6,46.25
105,2015-01-16,tenor_2,BUY,0.3,47.67
106,2015-01-20,tenor_1,SELL,0.6,48.69
107,2015-01-20,tenor_2,SELL,0.6,50.17
108,2015-01-21,tenor_1,BUY,0.6,46.39
109,2015-01-21,tenor_2,BUY,0.6,47.99
110,2015-01-22,tenor_1,SELL,0.6,47.78
111,2015-01-23,tenor_1,BUY,0.6,46.31
112,2015-01-28,tenor_2,SELL,0.6,49.6
113,2015-01-29,tenor_2,BUY,0.6,48.47
114,2015-01-30,tenor_2,SELL,0.6,49.13
115,2015-02-02,tenor_1,SELL,0.6,48.24
116,2015-02-03,tenor_1,BUY,0.6,49.57
117,2015-02-04,tenor_1,SELL,0.6,53.05
118,2015-02-05,tenor_1,BUY,0.6,48.45
119,2015-02-05,tenor_2,BUY,0.6,54.16
120,2015-02-06,tenor_2,SELL,0.6,56.57
121,2015-02-12,tenor_2,BUY,0.6,54.66
122,2015-02-13,tenor_2,SELL,0.6,57.05
123,2015-03-11,tenor_2,BUY,0.6,56.39
124,2015-03-12,tenor_2,SELL,0.6,57.54
125,2015-03-30,tenor_2,BUY,0.6,56.41
126,2015-03-31,tenor_2,SELL,0.6,56.29
127,2015-04-07,tenor_1,SELL,0.6,52.14
128,2015-04-08,tenor_1,BUY,0.6,53.98
129,2015-04-09,tenor_2,BUY,0.6,55.55
130,2015-04-10,tenor_2,SELL,0.6,56.57
131,2015-04-16,tenor_1,SELL,0.6,56.39
132,2015-04-17,tenor_1,BUY,0.6,56.71
133,2015-06-01,tenor_1,SELL,0.6,60.3
134,2015-06-02,tenor_1,BUY,0.6,60.2
135,2015-07-07,tenor_2,BUY,0.6,56.54
136,2015-07-09,tenor_2,SELL,0.6,57.05
137,2015-07-16,tenor_2,BUY,0.6,57.05
138,2015-07-17,tenor_2,SELL,0.6,57.51
139,2015-07-20,tenor_2,BUY,0.3,57.1
140,2015-07-21,tenor_2,BUY,0.3,56.65
141,2015-07-22,tenor_2,SELL,0.6,57.04
142,2015-07-23,tenor_2,BUY,0.6,56.13
143,2015-07-27,tenor_2,SELL,0.6,54.62
144,2015-07-28,tenor_2,BUY,0.6,53.47
145,2015-07-29,tenor_2,SELL,0.6,53.3
146,2015-07-31,tenor_2,BUY,0.6,53.31
147,2015-08-05,tenor_2,SELL,0.6,49.99
148,2015-08-06,tenor_2,BUY,0.6,49.59
149,2015-08-11,tenor_2,SELL,0.6,50.41
150,2015-08-12,tenor_2,BUY,0.6,49.18
151,2015-08-13,tenor_2,SELL,0.6,49.66
152,2015-08-20,tenor_2,BUY,0.6,47.16
153,2015-08-21,tenor_2,SELL,0.6,46.62
154,2015-08-24,tenor_2,BUY,0.6,45.46
155,2015-08-26,tenor_2,SELL,0.6,43.21
156,2015-08-27,tenor_2,BUY,0.6,43.14
157,2015-08-28,tenor_1,SELL,0.6,42.56
158,2015-08-28,tenor_2,SELL,0.6,47.56
159,2015-09-02,tenor_1,BUY,0.6,45.41
160,2015-09-02,tenor_2,BUY,0.6,49.56
161,2015-09-03,tenor_2,SELL,0.6,50.5
162,2015-09-08,tenor_2,BUY,0.6,49.61
163,2015-09-09,tenor_2,SELL,0.6,49.52
164,2015-09-10,tenor_2,BUY,0.6,47.58
165,2015-09-11,tenor_1,SELL,0.6,45.92
166,2015-09-11,tenor_2,SELL,0.6,48.89
167,2015-09-14,tenor_1,BUY,0.6,44.63
168,2015-09-14,tenor_2,BUY,0.6,48.14
169,2015-09-17,tenor_1,SELL,0.6,47.15
170,2015-09-17,tenor_2,SELL,0.6,49.75
171,2015-09-18,tenor_1,BUY,0.6,46.9
172,2015-09-18,tenor_2,BUY,0.6,49.08
173,2015-09-22,tenor_1,SELL,0.6,46.68
174,2015-09-22,tenor_2,SELL,0.6,48.92
175,2015-09-23,tenor_1,BUY,0.6,45.83
176,2015-09-23,tenor_2,BUY,0.6,49.08
177,2015-09-28,tenor_2,SELL,0.6,48.6
178,2015-09-29,tenor_2,BUY,0.6,47.34
179,2015-09-30,tenor_2,SELL,0.6,48.23
180,2015-10-01,tenor_2,BUY,0.6,48.37
181,2015-10-02,tenor_2,SELL,0.6,47.69
182,2015-10-05,tenor_1,SELL,0.3,45.54
183,2015-10-06,tenor_1,SELL,0.3,46.26
184,2015-10-08,tenor_1,BUY,0.6,47.81
185,2015-10-08,tenor_2,BUY,0.3,51.33
186,2015-10-09,tenor_1,SELL,0.6,49.43
187,2015-10-09,tenor_2,SELL,0.3,53.05
188,2015-10-12,tenor_1,BUY,0.6,49.63
189,2015-10-13,tenor_2,BUY,0.6,49.86
190,2015-10-15,tenor_1,SELL,0.3,46.64
191,2015-10-15,tenor_2,SELL,0.6,49.15
