,date,tenor,side,quantity,price
0,2011-06-01,tenor_2,SELL,0.3,116.73
1,2011-06-24,tenor_2,BUY,0.6,107.26
2,2011-06-27,tenor_2,SELL,0.6,105.12
3,2011-12-15,tenor_2,BUY,0.6,105.02
4,2011-12-16,tenor_2,SELL,0.6,105.09
5,2012-05-18,tenor_2,BUY,0.6,107.49
6,2012-05-21,tenor_2,SELL,0.6,107.14
7,2012-05-31,tenor_2,BUY,0.6,103.47
8,2012-06-01,tenor_2,SELL,0.6,101.87
9,2012-06-04,tenor_2,BUY,0.6,98.43
10,2012-06-05,tenor_2,SELL,0.6,98.85
11,2012-06-21,tenor_2,BUY,0.6,92.69
12,2012-06-25,tenor_2,SELL,0.6,90.98
13,2012-06-29,tenor_2,BUY,0.6,91.36
14,2012-07-02,tenor_2,SELL,0.6,97.8
15,2013-04-16,tenor_2,BUY,0.6,100.39
16,2013-04-17,tenor_2,SELL,0.6,99.91
17,2013-04-18,tenor_2,BUY,0.6,97.69
18,2013-04-19,tenor_2,SELL,0.6,99.13
19,2013-05-02,tenor_2,BUY,0.6,99.95
20,2013-05-03,tenor_2,SELL,0.6,102.85
21,2013-05-30,tenor_2,BUY,0.6,102.43
22,2013-05-31,tenor_2,SELL,0.6,102.19
23,2013-06-11,tenor_2,BUY,0.3,103.95
24,2013-06-12,tenor_2,SELL,0.3,102.96
25,2013-06-21,tenor_2,BUY,0.6,102.15
26,2013-06-25,tenor_2,SELL,0.6,101.16
27,2013-06-26,tenor_2,BUY,0.3,101.26
28,2013-06-27,tenor_2,SELL,0.3,101.66
29,2014-04-03,tenor_2,BUY,0.6,104.79
30,2014-04-04,tenor_2,SELL,0.6,106.15
31,2014-08-13,tenor_2,BUY,0.6,103.02
32,2014-08-14,tenor_2,SELL,0.6,104.28
33,2014-08-19,tenor_2,BUY,0.6,101.6
34,2014-08-20,tenor_2,SELL,0.6,101.56
35,2014-08-21,tenor_2,BUY,0.3,102.28
36,2014-08-22,tenor_2,SELL,0.3,102.63
37,2014-08-25,tenor_2,BUY,0.6,102.29
38,2014-08-26,tenor_2,SELL,0.6,102.65
39,2014-08-27,tenor_2,BUY,0.6,102.5
40,2014-08-28,tenor_2,SELL,0.6,102.72
41,2014-08-29,tenor_2,BUY,0.6,102.46
42,2014-09-02,tenor_2,SELL,0.6,103.19
43,2014-09-05,tenor_2,BUY,0.6,101.83
44,2014-09-08,tenor_2,SELL,0.6,100.82
45,2014-09-11,tenor_2,BUY,0.6,98.04
46,2014-12-02,tenor_2,SELL,0.6,72.54
47,2014-12-03,tenor_2,BUY,0.6,70.54
48,2014-12-18,tenor_2,SELL,0.6,61.18
49,2014-12-19,tenor_2,BUY,0.6,59.27
50,2014-12-22,tenor_2,SELL,0.6,61.38
51,2014-12-23,tenor_2,BUY,0.6,60.11
52,2014-12-24,tenor_2,SELL,0.6,61.69
53,2014-12-26,tenor_2,BUY,0.6,60.24
54,2015-01-15,tenor_2,SELL,0.3,48.69
55,2015-01-16,tenor_2,BUY,0.3,47.67
56,2015-01-20,tenor_2,SELL,0.6,50.17
57,2015-01-21,tenor_2,BUY,0.6,47.99
58,2015-01-28,tenor_2,SELL,0.6,49.6
59,2015-01-29,tenor_2,BUY,0.6,48.47
60,2015-01-30,tenor_2,SELL,0.6,49.13
61,2015-02-05,tenor_2,BUY,0.6,54.16
62,2015-02-06,tenor_2,SELL,0.6,56.57
63,2015-02-12,tenor_2,BUY,0.6,54.66
64,2015-02-13,tenor_2,SELL,0.6,57.05
65,2015-03-11,tenor_2,BUY,0.6,56.39
66,2015-03-12,tenor_2,SELL,0.6,57.54
67,2015-03-30,tenor_2,BUY,0.6,56.41
68,2015-03-31,tenor_2,SELL,0.6,56.29
69,2015-04-09,tenor_2,BUY,0.6,55.55
70,2015-04-10,tenor_2,SELL,0.6,56.57
71,2015-07-07,tenor_2,BUY,0.6,56.54
72,2015-07-09,tenor_2,SELL,0.6,57.05
73,2015-07-16,tenor_2,BUY,0.6,57.05
74,2015-07-17,tenor_2,SELL,0.6,57.51
75,2015-07-20,tenor_2,BUY,0.3,57.1
76,2015-07-21,tenor_2,BUY,0.3,56.65
77,2015-07-22,tenor_2,SELL,0.6,57.04
78,2015-07-23,tenor_2,BUY,0.6,56.13
79,2015-07-27,tenor_2,SELL,0.6,54.62
80,2015-07-28,tenor_2,BUY,0.6,53.47
81,2015-07-29,tenor_2,SELL,0.6,53.3
82,2015-07-31,tenor_2,BUY,0.6,53.31
83,2015-08-05,tenor_2,SELL,0.6,49.99
84,2015-08-06,tenor_2,BUY,0.6,49.59
