,date,tenor,side,quantity,price
0,2019-01-02,tenor_1,SELL,0.3,45.41
1,2019-06-04,tenor_1,BUY,0.6,53.25
2,2019-06-05,tenor_1,SELL,0.6,53.48
3,2019-08-02,tenor_1,BUY,0.6,53.95
4,2019-08-05,tenor_1,SELL,0.6,55.66
5,2019-08-07,tenor_1,BUY,0.3,53.63
6,2019-08-08,tenor_1,BUY,0.3,51.09
7,2019-08-09,tenor_1,SELL,0.6,52.54
8,2019-10-02,tenor_1,BUY,0.3,53.62
9,2019-10-03,tenor_1,BUY,0.3,52.64
10,2019-10-04,tenor_1,SELL,0.6,52.45
11,2020-01-28,tenor_1,BUY,0.3,53.14
12,2020-01-29,tenor_1,SELL,0.3,53.48
13,2020-02-04,tenor_1,BUY,0.6,50.11
14,2020-02-06,tenor_1,SELL,0.6,50.75
15,2020-02-11,tenor_1,BUY,0.6,49.57
16,2020-02-12,tenor_1,SELL,0.6,49.94
17,2020-02-25,tenor_1,BUY,0.3,51.43
18,2020-02-26,tenor_1,BUY,0.3,49.9
19,2020-03-03,tenor_1,SELL,0.3,46.75
20,2020-03-04,tenor_1,SELL,0.3,47.18
21,2020-03-06,tenor_1,BUY,0.6,45.9
22,2020-03-26,tenor_1,SELL,0.6,24.49
23,2020-03-27,tenor_1,BUY,0.6,22.6
24,2020-04-02,tenor_1,SELL,0.6,20.31
25,2020-04-22,tenor_1,BUY,0.3,10.01
26,2020-07-16,tenor_1,SELL,0.3,41.2
27,2020-09-08,tenor_1,BUY,0.6,39.77
28,2020-09-15,tenor_1,SELL,0.3,37.26
29,2020-09-16,tenor_1,SELL,0.3,38.28
30,2020-09-30,tenor_1,BUY,0.6,39.29
31,2020-10-01,tenor_1,SELL,0.6,40.22
32,2020-10-05,tenor_1,BUY,0.6,37.05
33,2020-10-06,tenor_1,SELL,0.6,39.22
34,2020-10-22,tenor_1,BUY,0.6,40.03
35,2020-10-23,tenor_1,SELL,0.6,40.64
36,2020-10-27,tenor_1,BUY,0.6,38.56
37,2020-10-28,tenor_1,SELL,0.6,39.57
38,2020-10-29,tenor_1,BUY,0.6,37.39
39,2020-11-03,tenor_1,SELL,0.6,36.81
40,2021-03-03,tenor_1,BUY,0.6,59.75
41,2021-03-04,tenor_1,SELL,0.6,61.28
42,2021-03-19,tenor_1,BUY,0.6,60.0
43,2021-03-22,tenor_1,SELL,0.6,61.42
44,2021-03-24,tenor_1,BUY,0.6,57.76
45,2021-03-25,tenor_1,SELL,0.6,61.18
46,2021-03-26,tenor_1,BUY,0.3,58.56
47,2021-03-29,tenor_1,SELL,0.3,60.97
48,2021-05-20,tenor_1,BUY,0.6,63.36
