,date,tenor,side,quantity,price
0,2011-06-01,tenor_1,BUY,0.3,102.7
1,2011-06-01,tenor_2,SELL,0.3,116.73
2,2011-06-24,tenor_2,BUY,0.6,107.26
3,2011-06-27,tenor_2,SELL,0.6,105.12
4,2011-12-15,tenor_2,BUY,0.6,105.02
5,2011-12-16,tenor_2,SELL,0.6,105.09
6,2012-01-04,tenor_1,SELL,0.6,102.96
7,2012-01-05,tenor_1,BUY,0.6,103.22
8,2012-05-18,tenor_2,BUY,0.6,107.49
9,2012-05-21,tenor_2,SELL,0.6,107.14
10,2012-05-31,tenor_2,BUY,0.6,103.47
11,2012-06-01,tenor_2,SELL,0.6,101.87
12,2012-06-04,tenor_2,BUY,0.6,98.43
13,2012-06-05,tenor_2,SELL,0.6,98.85
14,2012-06-21,tenor_2,BUY,0.6,92.69
15,2012-06-25,tenor_2,SELL,0.6,90.98
16,2012-06-29,tenor_2,BUY,0.6,91.36
17,2012-07-02,tenor_1,SELL,0.6,84.96
18,2012-07-02,tenor_2,SELL,0.6,97.8
19,2012-07-03,tenor_1,BUY,0.6,83.75
20,2013-04-16,tenor_2,BUY,0.6,100.39
21,2013-04-17,tenor_2,SELL,0.6,99.91
22,2013-04-18,tenor_2,BUY,0.6,97.69
23,2013-04-19,tenor_2,SELL,0.6,99.13
