,date,tenor,side,quantity,price
0,2022-01-03,tenor_1,BUY,0.3,75.21
1,2022-01-03,tenor_2,BUY,0.3,77.78
2,2022-01-04,tenor_1,SELL,0.6,76.08
3,2022-01-04,tenor_2,SELL,0.6,78.98
4,2022-01-10,tenor_1,BUY,0.6,78.9
5,2022-01-12,tenor_1,SELL,0.6,81.22
6,2022-01-14,tenor_1,BUY,0.6,82.12
7,2022-01-18,tenor_1,SELL,0.6,83.82
8,2022-01-21,tenor_1,BUY,0.6,86.9
9,2022-01-26,tenor_1,SELL,0.6,85.6
10,2022-01-28,tenor_1,BUY,0.6,86.61
11,2022-02-01,tenor_1,SELL,0.6,88.15
12,2022-02-02,tenor_1,BUY,0.6,88.2
13,2022-02-03,tenor_1,SELL,0.6,88.26
14,2022-02-08,tenor_1,BUY,0.6,91.32
15,2022-02-10,tenor_1,SELL,0.6,89.66
16,2022-02-11,tenor_1,BUY,0.6,89.88
17,2022-02-14,tenor_1,SELL,0.6,93.1
18,2022-02-16,tenor_1,BUY,0.6,92.07
19,2022-02-16,tenor_2,BUY,0.6,93.28
20,2022-02-17,tenor_1,SELL,0.6,93.66
21,2022-02-17,tenor_2,SELL,0.6,94.81
22,2022-02-18,tenor_1,BUY,0.6,91.76
23,2022-02-23,tenor_1,SELL,0.6,92.35
24,2022-02-24,tenor_1,BUY,0.6,92.1
25,2022-03-01,tenor_1,SELL,0.6,95.72
26,2022-03-04,tenor_1,BUY,0.6,107.67
27,2022-03-07,tenor_1,SELL,0.6,115.68
28,2022-03-10,tenor_1,BUY,0.6,108.7
29,2022-03-10,tenor_2,BUY,0.6,111.14
30,2022-03-11,tenor_2,SELL,0.6,109.33
31,2022-03-14,tenor_1,SELL,0.6,109.33
32,2022-03-15,tenor_1,BUY,0.6,103.01
33,2022-03-15,tenor_2,BUY,0.6,106.9
34,2022-03-17,tenor_2,SELL,0.6,98.02
35,2022-03-18,tenor_1,SELL,0.6,102.98
36,2022-03-23,tenor_1,BUY,0.6,111.76
37,2022-03-24,tenor_1,SELL,0.6,114.93
38,2022-03-25,tenor_1,BUY,0.6,112.34
39,2022-03-29,tenor_2,BUY,0.6,112.48
40,2022-03-30,tenor_2,SELL,0.6,110.23
41,2022-03-31,tenor_1,SELL,0.6,107.82
42,2022-04-01,tenor_1,BUY,0.6,100.28
