,date,tenor,side,quantity,price
0,2022-01-03,tenor_2,BUY,0.3,77.78
1,2022-01-04,tenor_2,SELL,0.6,78.98
2,2022-02-16,tenor_2,BUY,0.6,93.28
3,2022-02-17,tenor_2,SELL,0.6,94.81
4,2022-03-10,tenor_2,BUY,0.6,111.14
5,2022-03-11,tenor_2,SELL,0.6,109.33
6,2022-03-15,tenor_2,BUY,0.6,106.9
7,2022-03-17,tenor_2,SELL,0.6,98.02
8,2022-03-29,tenor_2,BUY,0.6,112.48
9,2022-03-30,tenor_2,SELL,0.6,110.23
10,2022-04-01,tenor_2,BUY,0.6,107.91
11,2022-04-04,tenor_2,SELL,0.6,104.39
12,2022-04-07,tenor_2,BUY,0.6,101.07
13,2022-04-08,tenor_2,SELL,0.6,100.58
14,2022-04-12,tenor_2,BUY,0.6,98.48
15,2022-04-13,tenor_2,SELL,0.6,104.64
16,2022-04-20,tenor_2,BUY,0.6,107.25
17,2022-04-21,tenor_2,SELL,0.6,106.8
18,2022-04-26,tenor_2,BUY,0.6,102.32
19,2022-04-27,tenor_2,SELL,0.6,104.99
20,2022-05-10,tenor_2,BUY,0.6,105.94
21,2022-05-12,tenor_2,SELL,0.6,107.51
22,2022-05-18,tenor_2,BUY,0.6,111.93
23,2022-05-20,tenor_2,SELL,0.6,112.04
24,2022-06-02,tenor_2,BUY,0.6,116.29
25,2022-06-03,tenor_2,SELL,0.6,117.61
26,2022-06-21,tenor_2,BUY,0.6,113.12
27,2022-06-22,tenor_2,SELL,0.6,114.65
28,2022-06-23,tenor_2,BUY,0.6,111.74
29,2022-06-24,tenor_2,SELL,0.6,110.05
30,2022-07-06,tenor_2,BUY,0.6,102.77
31,2022-07-08,tenor_2,SELL,0.6,104.65
32,2022-07-12,tenor_2,BUY,0.6,107.1
33,2022-07-18,tenor_2,SELL,0.6,101.16
34,2022-07-21,tenor_2,BUY,0.3,106.92
35,2022-07-22,tenor_2,BUY,0.3,103.86
36,2022-07-26,tenor_2,SELL,0.6,105.15
37,2022-08-02,tenor_2,BUY,0.6,100.03
38,2022-08-12,tenor_2,SELL,0.3,99.6
39,2022-08-15,tenor_2,BUY,0.3,98.15
40,2022-08-19,tenor_2,SELL,0.6,96.59
41,2022-08-22,tenor_2,BUY,0.6,96.72
42,2022-08-24,tenor_2,SELL,0.6,100.22
43,2022-08-26,tenor_2,BUY,0.6,99.34
44,2022-08-29,tenor_2,SELL,0.6,100.99
45,2022-08-31,tenor_2,BUY,0.6,99.31
46,2022-09-12,tenor_2,SELL,0.6,92.84
47,2022-09-13,tenor_2,BUY,0.6,94.0
48,2022-09-28,tenor_2,SELL,0.6,86.27
49,2022-09-30,tenor_2,BUY,0.6,88.49
50,2022-10-04,tenor_2,SELL,0.6,88.86
51,2022-10-11,tenor_2,BUY,0.6,96.19
52,2022-10-14,tenor_2,SELL,0.6,94.57
53,2022-10-17,tenor_2,BUY,0.6,91.63
54,2022-10-20,tenor_2,SELL,0.6,92.41
55,2022-10-21,tenor_2,BUY,0.3,92.38
56,2022-10-24,tenor_2,SELL,0.3,93.5
57,2022-11-04,tenor_2,BUY,0.6,94.67
58,2022-11-07,tenor_2,SELL,0.6,98.57
59,2022-11-09,tenor_2,BUY,0.6,95.36
60,2022-11-11,tenor_2,SELL,0.6,93.67
61,2022-11-15,tenor_2,BUY,0.6,93.14
62,2022-11-16,tenor_2,SELL,0.6,93.86
63,2022-11-17,tenor_2,BUY,0.6,92.86
64,2022-11-18,tenor_2,SELL,0.6,89.78
65,2022-11-21,tenor_2,BUY,0.6,87.62
66,2022-11-23,tenor_2,SELL,0.6,88.36
67,2022-11-25,tenor_2,BUY,0.6,85.41
