,date,tenor,side,quantity,price
0,2021-09-23,tenor_1,SELL,0.3,72.23
1,2021-09-23,tenor_2,SELL,0.3,76.19
2,2021-09-24,tenor_1,BUY,0.6,73.3
3,2021-09-28,tenor_1,SELL,0.3,75.45
4,2021-09-29,tenor_1,BUY,0.3,75.29
5,2021-10-05,tenor_1,SELL,0.6,77.62
6,2021-10-07,tenor_1,BUY,0.6,77.43
7,2021-10-12,tenor_1,SELL,0.6,80.52
8,2021-10-13,tenor_1,BUY,0.6,80.64
9,2021-10-15,tenor_1,SELL,0.6,81.31
10,2021-10-19,tenor_1,BUY,0.6,82.44
11,2021-10-20,tenor_1,SELL,0.6,82.96
12,2021-10-22,tenor_1,BUY,0.6,82.5
13,2021-10-25,tenor_1,SELL,0.6,83.76
14,2021-10-26,tenor_1,BUY,0.6,83.76
15,2021-10-27,tenor_1,SELL,0.6,84.65
16,2021-10-28,tenor_1,BUY,0.6,82.66
17,2021-11-01,tenor_1,SELL,0.6,83.57
18,2021-11-04,tenor_1,BUY,0.6,80.86
19,2021-11-04,tenor_2,BUY,0.6,81.99
20,2021-11-05,tenor_2,SELL,0.6,80.54
21,2021-11-08,tenor_1,SELL,0.6,81.27
22,2021-11-11,tenor_1,BUY,0.6,81.34
23,2021-11-11,tenor_2,BUY,0.6,82.64
24,2021-11-12,tenor_1,SELL,0.6,81.59
25,2021-11-12,tenor_2,SELL,0.6,82.87
26,2021-11-15,tenor_1,BUY,0.6,80.79
27,2021-11-18,tenor_2,BUY,0.6,80.28
28,2021-11-19,tenor_2,SELL,0.6,81.24
29,2021-11-22,tenor_2,BUY,0.6,78.89
30,2021-11-23,tenor_2,SELL,0.6,79.7
31,2021-11-24,tenor_1,SELL,0.6,78.5
32,2021-11-26,tenor_1,BUY,0.6,78.39
33,2021-11-29,tenor_2,BUY,0.6,72.72
34,2021-11-30,tenor_1,SELL,0.6,69.95
35,2021-11-30,tenor_2,SELL,0.6,73.44
36,2021-12-01,tenor_1,BUY,0.6,66.18
37,2021-12-01,tenor_2,BUY,0.6,70.57
38,2021-12-07,tenor_1,SELL,0.6,69.49
39,2021-12-07,tenor_2,SELL,0.6,73.08
40,2021-12-09,tenor_1,BUY,0.6,72.36
41,2021-12-10,tenor_2,BUY,0.6,74.42
42,2021-12-13,tenor_2,SELL,0.6,75.15
43,2021-12-15,tenor_2,BUY,0.3,73.7
44,2021-12-16,tenor_2,SELL,0.3,73.88
45,2021-12-17,tenor_1,SELL,0.6,72.38
46,2021-12-20,tenor_1,BUY,0.6,70.86
47,2021-12-20,tenor_2,BUY,0.6,73.52
48,2021-12-22,tenor_1,SELL,0.6,71.12
49,2021-12-22,tenor_2,SELL,0.6,73.98
50,2022-01-03,tenor_1,BUY,0.6,75.21
51,2022-01-04,tenor_1,SELL,0.6,76.08
52,2022-01-10,tenor_1,BUY,0.6,78.9
53,2022-01-12,tenor_1,SELL,0.6,81.22
54,2022-01-14,tenor_1,BUY,0.6,82.12
55,2022-01-18,tenor_1,SELL,0.6,83.82
56,2022-01-21,tenor_1,BUY,0.6,86.9
57,2022-01-26,tenor_1,SELL,0.6,85.6
58,2022-01-28,tenor_1,BUY,0.6,86.61
59,2022-02-01,tenor_1,SELL,0.6,88.15
60,2022-02-02,tenor_1,BUY,0.6,88.2
61,2022-02-03,tenor_1,SELL,0.6,88.26
62,2022-02-08,tenor_1,BUY,0.6,91.32
63,2022-02-10,tenor_1,SELL,0.6,89.66
64,2022-02-11,tenor_1,BUY,0.6,89.88
65,2022-02-14,tenor_1,SELL,0.6,93.1
66,2022-02-16,tenor_1,BUY,0.6,92.07
67,2022-02-16,tenor_2,BUY,0.6,93.28
68,2022-02-17,tenor_1,SELL,0.6,93.66
69,2022-02-17,tenor_2,SELL,0.6,94.81
70,2022-02-18,tenor_1,BUY,0.6,91.76
71,2022-02-23,tenor_1,SELL,0.6,92.35
72,2022-02-24,tenor_1,BUY,0.6,92.1
73,2022-03-01,tenor_1,SELL,0.6,95.72
74,2022-03-04,tenor_1,BUY,0.6,107.67
75,2022-03-07,tenor_1,SELL,0.6,115.68
76,2022-03-10,tenor_1,BUY,0.6,108.7
77,2022-03-10,tenor_2,BUY,0.6,111.14
78,2022-03-11,tenor_2,SELL,0.6,109.33
79,2022-03-14,tenor_1,SELL,0.6,109.33
80,2022-03-15,tenor_1,BUY,0.6,103.01
81,2022-03-15,tenor_2,BUY,0.6,106.9
82,2022-03-17,tenor_2,SELL,0.6,98.02
83,2022-03-18,tenor_1,SELL,0.6,102.98
84,2022-03-23,tenor_1,BUY,0.6,111.76
