,date,tenor,side,quantity,price
0,2021-09-23,tenor_2,SELL,0.3,76.19
1,2021-11-04,tenor_2,BUY,0.6,81.99
2,2021-11-05,tenor_2,SELL,0.6,80.54
3,2021-11-11,tenor_2,BUY,0.6,82.64
4,2021-11-12,tenor_2,SELL,0.6,82.87
5,2021-11-18,tenor_2,BUY,0.6,80.28
6,2021-11-19,tenor_2,SELL,0.6,81.24
7,2021-11-22,tenor_2,BUY,0.6,78.89
8,2021-11-23,tenor_2,SELL,0.6,79.7
9,2021-11-29,tenor_2,BUY,0.6,72.72
10,2021-11-30,tenor_2,SELL,0.6,73.44
11,2021-12-01,tenor_2,BUY,0.6,70.57
12,2021-12-07,tenor_2,SELL,0.6,73.08
13,2021-12-10,tenor_2,BUY,0.6,74.42
14,2021-12-13,tenor_2,SELL,0.6,75.15
15,2021-12-15,tenor_2,BUY,0.3,73.7
16,2021-12-16,tenor_2,SELL,0.3,73.88
17,2021-12-20,tenor_2,BUY,0.6,73.52
18,2021-12-22,tenor_2,SELL,0.6,73.98
19,2022-02-16,tenor_2,BUY,0.6,93.28
20,2022-02-17,tenor_2,SELL,0.6,94.81
21,2022-03-10,tenor_2,BUY,0.6,111.14
22,2022-03-11,tenor_2,SELL,0.6,109.33
23,2022-03-15,tenor_2,BUY,0.6,106.9
24,2022-03-17,tenor_2,SELL,0.6,98.02
