,date,tenor,side,quantity,price
0,2024-05-01,tenor_1,BUY,0.3,81.93
1,2024-05-01,tenor_2,SELL,0.3,87.86
2,2024-05-02,tenor_2,BUY,0.6,83.44
3,2024-05-07,tenor_2,SELL,0.6,83.33
4,2024-06-04,tenor_2,BUY,0.6,78.36
5,2024-06-06,tenor_2,SELL,0.6,78.41
6,2024-06-18,tenor_1,SELL,0.6,80.33
7,2024-06-24,tenor_1,BUY,0.6,80.73
8,2024-07-22,tenor_2,BUY,0.6,82.63
9,2024-07-25,tenor_2,SELL,0.6,81.71
10,2024-07-30,tenor_2,BUY,0.6,79.78
11,2024-08-01,tenor_2,SELL,0.6,80.72
12,2024-08-05,tenor_2,BUY,0.6,76.81
13,2024-08-08,tenor_2,SELL,0.6,78.33
14,2024-08-12,tenor_1,SELL,0.3,76.84
15,2024-08-13,tenor_1,SELL,0.3,80.06
16,2024-08-14,tenor_1,BUY,0.6,78.35
17,2024-08-20,tenor_2,BUY,0.6,77.66
18,2024-08-23,tenor_2,SELL,0.6,77.22
19,2024-08-27,tenor_1,SELL,0.6,77.42
20,2024-08-28,tenor_1,BUY,0.6,75.53
21,2024-09-04,tenor_2,BUY,0.6,73.75
22,2024-09-13,tenor_2,SELL,0.6,71.97
23,2024-09-18,tenor_1,SELL,0.6,71.19
24,2024-09-19,tenor_1,BUY,0.6,70.91
25,2024-09-20,tenor_1,SELL,0.3,71.95
26,2024-09-23,tenor_1,BUY,0.3,71.92
27,2024-09-27,tenor_2,BUY,0.6,71.6
28,2024-09-30,tenor_2,SELL,0.3,71.98
29,2024-10-01,tenor_2,SELL,0.3,71.77
30,2024-10-04,tenor_1,SELL,0.6,73.71
31,2024-10-09,tenor_1,BUY,0.6,73.57
32,2024-10-11,tenor_1,SELL,0.6,75.85
33,2024-10-14,tenor_1,BUY,0.6,75.56
34,2024-10-16,tenor_2,BUY,0.6,74.25
35,2024-10-18,tenor_2,SELL,0.6,74.45
36,2024-10-21,tenor_2,BUY,0.6,73.06
37,2024-10-22,tenor_2,SELL,0.6,74.29
38,2024-10-29,tenor_2,BUY,0.6,71.42
39,2024-10-31,tenor_2,SELL,0.6,72.55
