,date,tenor,side,quantity,price
0,2024-05-01,tenor_2,SELL,0.3,87.86
1,2024-05-02,tenor_2,BUY,0.6,83.44
2,2024-05-07,tenor_2,SELL,0.6,83.33
3,2024-06-04,tenor_2,BUY,0.6,78.36
4,2024-06-06,tenor_2,SELL,0.6,78.41
5,2024-07-22,tenor_2,BUY,0.6,82.63
6,2024-07-25,tenor_2,SELL,0.6,81.71
7,2024-07-30,tenor_2,BUY,0.6,79.78
8,2024-08-01,tenor_2,SELL,0.6,80.72
9,2024-08-05,tenor_2,BUY,0.6,76.81
10,2024-08-08,tenor_2,SELL,0.6,78.33
11,2024-08-20,tenor_2,BUY,0.6,77.66
12,2024-08-23,tenor_2,SELL,0.6,77.22
13,2024-09-04,tenor_2,BUY,0.6,73.75
14,2024-09-13,tenor_2,SELL,0.6,71.97
15,2024-09-27,tenor_2,BUY,0.6,71.6
16,2024-09-30,tenor_2,SELL,0.3,71.98
17,2024-10-01,tenor_2,SELL,0.3,71.77
18,2024-10-16,tenor_2,BUY,0.6,74.25
19,2024-10-18,tenor_2,SELL,0.6,74.45
20,2024-10-21,tenor_2,BUY,0.6,73.06
21,2024-10-22,tenor_2,SELL,0.6,74.29
22,2024-10-29,tenor_2,BUY,0.6,71.42
23,2024-10-31,tenor_2,SELL,0.6,72.55
