,date,tenor,side,quantity,price
0,2023-11-01,tenor_1,BUY,0.3,81.02
1,2023-11-01,tenor_2,SELL,0.3,87.41
2,2023-11-02,tenor_2,BUY,0.6,84.63
3,2023-11-03,tenor_2,SELL,0.6,86.85
4,2023-11-08,tenor_2,BUY,0.6,81.61
5,2023-11-13,tenor_2,SELL,0.6,81.43
6,2023-11-17,tenor_2,BUY,0.6,77.42
7,2023-11-20,tenor_2,SELL,0.6,80.61
8,2023-12-04,tenor_2,BUY,0.6,78.88
9,2023-12-11,tenor_2,SELL,0.6,75.84
10,2023-12-13,tenor_2,BUY,0.6,73.24
11,2023-12-14,tenor_2,SELL,0.6,74.26
12,2024-01-03,tenor_2,BUY,0.3,75.89
13,2024-01-04,tenor_2,SELL,0.3,78.25
14,2024-01-26,tenor_1,SELL,0.6,77.36
15,2024-01-30,tenor_1,BUY,0.6,76.78
16,2024-02-02,tenor_2,BUY,0.6,78.7
17,2024-02-06,tenor_2,SELL,0.6,77.99
18,2024-03-15,tenor_1,SELL,0.6,81.26
19,2024-03-18,tenor_1,BUY,0.6,81.04
20,2024-03-19,tenor_1,SELL,0.6,82.72
21,2024-03-21,tenor_1,BUY,0.6,81.68
22,2024-04-03,tenor_1,SELL,0.6,85.15
23,2024-04-09,tenor_1,BUY,0.6,86.43
24,2024-04-18,tenor_2,BUY,0.3,87.29
25,2024-04-19,tenor_2,SELL,0.3,87.11
