,date,tenor,side,quantity,price
0,2023-11-01,tenor_2,SELL,0.3,87.41
1,2023-11-02,tenor_2,BUY,0.6,84.63
2,2023-11-03,tenor_2,SELL,0.6,86.85
3,2023-11-08,tenor_2,BUY,0.6,81.61
4,2023-11-13,tenor_2,SELL,0.6,81.43
5,2023-11-17,tenor_2,BUY,0.6,77.42
6,2023-11-20,tenor_2,SELL,0.6,80.61
7,2023-12-04,tenor_2,BUY,0.6,78.88
8,2023-12-11,tenor_2,SELL,0.6,75.84
9,2023-12-13,tenor_2,BUY,0.6,73.24
10,2023-12-14,tenor_2,SELL,0.6,74.26
11,2024-01-03,tenor_2,BUY,0.3,75.89
12,2024-01-04,tenor_2,SELL,0.3,78.25
13,2024-02-02,tenor_2,BUY,0.6,78.7
14,2024-02-06,tenor_2,SELL,0.6,77.99
15,2024-04-18,tenor_2,BUY,0.3,87.29
16,2024-04-19,tenor_2,SELL,0.3,87.11
