,date,tenor,side,quantity,price
0,2024-05-01,tenor_1,BUY,0.3,81.93
1,2024-05-01,tenor_2,SELL,0.3,87.86
2,2024-05-02,tenor_2,BUY,0.6,83.44
3,2024-05-03,tenor_2,SELL,0.6,83.67
4,2024-05-13,tenor_2,BUY,0.6,82.79
5,2024-05-14,tenor_2,SELL,0.6,83.36
6,2024-05-23,tenor_2,BUY,0.6,81.9
7,2024-05-24,tenor_2,SELL,0.6,81.36
8,2024-05-31,tenor_2,BUY,0.6,81.86
9,2024-06-03,tenor_2,SELL,0.6,81.62
10,2024-06-04,tenor_2,BUY,0.6,78.36
11,2024-06-07,tenor_2,SELL,0.6,79.87
12,2024-06-10,tenor_2,BUY,0.6,79.62
13,2024-06-11,tenor_2,SELL,0.6,81.63
14,2024-06-20,tenor_1,SELL,0.3,81.57
15,2024-06-21,tenor_1,BUY,0.3,82.17
16,2024-07-17,tenor_2,BUY,0.6,83.73
17,2024-07-18,tenor_2,SELL,0.6,85.08
18,2024-07-22,tenor_2,BUY,0.6,82.63
19,2024-07-26,tenor_2,SELL,0.6,82.37
20,2024-07-29,tenor_2,BUY,0.6,81.13
21,2024-08-01,tenor_2,SELL,0.6,80.72
22,2024-08-02,tenor_2,BUY,0.6,79.52
23,2024-08-08,tenor_2,SELL,0.6,78.33
24,2024-08-13,tenor_1,SELL,0.6,80.06
25,2024-08-14,tenor_1,BUY,0.6,78.35
26,2024-08-15,tenor_2,BUY,0.6,79.76
27,2024-08-16,tenor_2,SELL,0.6,81.04
28,2024-08-20,tenor_2,BUY,0.6,77.66
29,2024-08-23,tenor_2,SELL,0.6,77.22
30,2024-08-27,tenor_1,SELL,0.6,77.42
31,2024-08-28,tenor_1,BUY,0.6,75.53
32,2024-09-04,tenor_2,BUY,0.6,73.75
33,2024-09-13,tenor_2,SELL,0.6,71.97
34,2024-09-16,tenor_2,BUY,0.6,71.61
35,2024-09-18,tenor_2,SELL,0.6,73.7
36,2024-09-24,tenor_2,BUY,0.6,73.9
37,2024-09-25,tenor_2,SELL,0.6,75.17
38,2024-09-26,tenor_2,BUY,0.6,73.46
39,2024-10-04,tenor_1,SELL,0.6,73.71
40,2024-10-04,tenor_2,SELL,0.6,77.62
41,2024-10-09,tenor_1,BUY,0.6,73.57
42,2024-10-10,tenor_2,BUY,0.3,76.58
43,2024-10-11,tenor_2,SELL,0.3,79.4
44,2024-10-16,tenor_2,BUY,0.6,74.25
45,2024-10-23,tenor_2,SELL,0.6,76.04
46,2024-10-24,tenor_2,BUY,0.3,74.96
47,2024-10-25,tenor_2,BUY,0.3,74.38
48,2024-10-28,tenor_2,SELL,0.6,76.05
49,2024-10-29,tenor_2,BUY,0.6,71.42
