,date,tenor,side,quantity,price
0,2024-05-01,tenor_2,SELL,0.3,87.86
1,2024-05-02,tenor_2,BUY,0.6,83.44
2,2024-05-03,tenor_2,SELL,0.6,83.67
3,2024-05-13,tenor_2,BUY,0.6,82.79
4,2024-05-14,tenor_2,SELL,0.6,83.36
5,2024-05-23,tenor_2,BUY,0.6,81.9
6,2024-05-24,tenor_2,SELL,0.6,81.36
7,2024-05-31,tenor_2,BUY,0.6,81.86
8,2024-06-03,tenor_2,SELL,0.6,81.62
9,2024-06-04,tenor_2,BUY,0.6,78.36
10,2024-06-07,tenor_2,SELL,0.6,79.87
11,2024-06-10,tenor_2,BUY,0.6,79.62
12,2024-06-11,tenor_2,SELL,0.6,81.63
13,2024-07-17,tenor_2,BUY,0.6,83.73
14,2024-07-18,tenor_2,SELL,0.6,85.08
15,2024-07-22,tenor_2,BUY,0.6,82.63
16,2024-07-26,tenor_2,SELL,0.6,82.37
17,2024-07-29,tenor_2,BUY,0.6,81.13
18,2024-08-01,tenor_2,SELL,0.6,80.72
19,2024-08-02,tenor_2,BUY,0.6,79.52
20,2024-08-08,tenor_2,SELL,0.6,78.33
21,2024-08-15,tenor_2,BUY,0.6,79.76
22,2024-08-16,tenor_2,SELL,0.6,81.04
23,2024-08-20,tenor_2,BUY,0.6,77.66
24,2024-08-23,tenor_2,SELL,0.6,77.22
25,2024-09-04,tenor_2,BUY,0.6,73.75
26,2024-09-13,tenor_2,SELL,0.6,71.97
27,2024-09-16,tenor_2,BUY,0.6,71.61
28,2024-09-18,tenor_2,SELL,0.6,73.7
29,2024-09-24,tenor_2,BUY,0.6,73.9
30,2024-09-25,tenor_2,SELL,0.6,75.17
31,2024-09-26,tenor_2,BUY,0.6,73.46
32,2024-10-04,tenor_2,SELL,0.6,77.62
33,2024-10-10,tenor_2,BUY,0.3,76.58
34,2024-10-11,tenor_2,SELL,0.3,79.4
35,2024-10-16,tenor_2,BUY,0.6,74.25
36,2024-10-23,tenor_2,SELL,0.6,76.04
37,2024-10-24,tenor_2,BUY,0.3,74.96
38,2024-10-25,tenor_2,BUY,0.3,74.38
39,2024-10-28,tenor_2,SELL,0.6,76.05
40,2024-10-29,tenor_2,BUY,0.6,71.42
