,date,tenor,side,quantity,price
0,2022-01-03,tenor_1,BUY,0.3,75.21
1,2022-01-03,tenor_2,SELL,0.3,77.78
2,2022-01-06,tenor_1,SELL,0.6,77.85
3,2022-01-11,tenor_1,BUY,0.6,78.23
4,2022-01-12,tenor_1,SELL,0.6,81.22
5,2022-01-24,tenor_1,BUY,0.6,85.14
6,2022-01-26,tenor_1,SELL,0.6,85.6
7,2022-01-28,tenor_1,BUY,0.6,86.61
8,2022-02-01,tenor_1,SELL,0.6,88.15
9,2022-02-09,tenor_1,BUY,0.6,89.36
10,2022-02-14,tenor_1,SELL,0.6,93.1
11,2022-02-16,tenor_1,BUY,0.3,92.07
12,2022-02-17,tenor_1,SELL,0.3,93.66
13,2022-02-18,tenor_1,BUY,0.6,91.76
14,2022-02-23,tenor_1,SELL,0.6,92.35
15,2022-02-24,tenor_1,BUY,0.6,92.1
16,2022-03-01,tenor_1,SELL,0.6,95.72
17,2022-03-10,tenor_1,BUY,0.6,108.7
18,2022-03-10,tenor_2,BUY,0.6,111.14
19,2022-03-14,tenor_2,SELL,0.6,112.67
20,2022-03-15,tenor_2,BUY,0.6,106.9
21,2022-03-18,tenor_1,SELL,0.6,102.98
22,2022-03-18,tenor_2,SELL,0.6,106.64
23,2022-03-29,tenor_1,BUY,0.6,105.96
24,2022-03-30,tenor_2,BUY,0.6,110.23
25,2022-03-31,tenor_2,SELL,0.6,113.45
26,2022-04-01,tenor_2,BUY,0.6,107.91
27,2022-04-05,tenor_2,SELL,0.6,107.53
28,2022-04-07,tenor_2,BUY,0.6,101.07
29,2022-04-11,tenor_2,SELL,0.6,102.78
30,2022-04-12,tenor_2,BUY,0.6,98.48
31,2022-04-13,tenor_1,SELL,0.6,100.6
32,2022-04-13,tenor_2,SELL,0.6,104.64
33,2022-04-20,tenor_1,BUY,0.6,102.56
34,2022-04-26,tenor_2,BUY,0.6,102.32
35,2022-04-27,tenor_2,SELL,0.6,104.99
36,2022-04-29,tenor_1,SELL,0.6,105.36
37,2022-05-04,tenor_1,BUY,0.6,102.41
38,2022-05-04,tenor_2,BUY,0.6,104.97
39,2022-05-05,tenor_1,SELL,0.6,107.81
40,2022-05-05,tenor_2,SELL,0.6,110.14
41,2022-05-10,tenor_1,BUY,0.6,103.09
42,2022-05-10,tenor_2,BUY,0.6,105.94
43,2022-05-12,tenor_1,SELL,0.6,105.71
44,2022-05-12,tenor_2,SELL,0.6,107.51
45,2022-05-19,tenor_1,BUY,0.6,109.59
46,2022-05-19,tenor_2,BUY,0.6,109.11
47,2022-05-20,tenor_1,SELL,0.6,112.21
48,2022-05-20,tenor_2,SELL,0.6,112.04
49,2022-05-24,tenor_1,BUY,0.6,110.29
50,2022-05-27,tenor_1,SELL,0.6,114.09
51,2022-06-02,tenor_1,BUY,0.6,115.26
52,2022-06-03,tenor_1,SELL,0.6,116.87
53,2022-06-15,tenor_1,BUY,0.6,118.93
54,2022-06-16,tenor_2,BUY,0.6,118.51
55,2022-06-17,tenor_2,SELL,0.6,119.81
56,2022-06-21,tenor_2,BUY,0.6,113.12
57,2022-06-27,tenor_2,SELL,0.6,113.12
58,2022-06-29,tenor_1,SELL,0.6,111.76
59,2022-06-30,tenor_1,BUY,0.6,109.78
60,2022-07-06,tenor_2,BUY,0.6,102.77
61,2022-07-11,tenor_2,SELL,0.6,107.02
62,2022-07-13,tenor_2,BUY,0.6,99.49
63,2022-07-18,tenor_2,SELL,0.6,101.16
64,2022-07-19,tenor_1,SELL,0.6,102.6
65,2022-07-21,tenor_1,BUY,0.6,102.26
66,2022-08-02,tenor_2,BUY,0.6,100.03
67,2022-08-09,tenor_2,SELL,0.6,96.65
68,2022-08-16,tenor_2,BUY,0.6,95.1
69,2022-08-18,tenor_2,SELL,0.6,93.65
70,2022-09-01,tenor_2,BUY,0.6,96.49
71,2022-09-12,tenor_2,SELL,0.6,92.84
72,2022-09-16,tenor_2,BUY,0.6,90.84
73,2022-09-19,tenor_2,SELL,0.6,91.35
74,2022-09-22,tenor_2,BUY,0.3,89.83
75,2022-09-23,tenor_2,SELL,0.3,90.46
76,2022-09-26,tenor_2,BUY,0.6,86.15
77,2022-09-28,tenor_2,SELL,0.6,86.27
78,2022-10-05,tenor_1,SELL,0.6,86.52
79,2022-10-11,tenor_1,BUY,0.3,91.13
80,2022-10-12,tenor_1,BUY,0.3,89.35
81,2022-10-19,tenor_2,BUY,0.6,90.03
82,2022-10-20,tenor_2,SELL,0.6,92.41
83,2022-11-07,tenor_1,SELL,0.6,92.61
84,2022-11-08,tenor_1,BUY,0.6,91.79
