,kappa,sigma_X,sigma_Y,rho,mu,date,f_model_1,f_model_2,f_future_1d_tenor_1,f_future_1d_tenor_2,f_future_2d_tenor_1,f_future_2d_tenor_2,f_future_3d_tenor_1,f_future_3d_tenor_2,f_future_4d_tenor_1,f_future_4d_tenor_2,f_future_5d_tenor_1,f_future_5d_tenor_2,f_future_6d_tenor_1,f_future_6d_tenor_2,f_future_7d_tenor_1,f_future_7d_tenor_2,f_future_8d_tenor_1,f_future_8d_tenor_2,f_future_9d_tenor_1,f_future_9d_tenor_2
0,5.0,0.8,0.5,0.3,0.0,2021-09-23,63.54888056671408,65.20896562678986,63.45577565205319,65.14397015717498,63.360754532519834,65.0780156651032,63.26375198473599,65.01106973077917,63.164700594996525,64.94309880929845,63.06353069317478,64.87406819206196,62.96017028538151,64.80394196699844,62.854544985423786,64.73268297756975,62.74657794512181,64.66025278053642,62.63618978354807,64.58661160246045
1,0.1,0.8,0.5,0.3,0.0,2021-09-24,63.499213199991615,66.45962768840995,63.35831319599639,66.31375961535126,63.217651109014035,66.16813464885263,63.077226688527695,66.0227525376681,62.93703968405696,65.87761303058397,62.797089845158,65.73271587641892,62.65737692142377,65.58806082402413,62.517900662484315,65.44364762228352,62.378660818006786,65.299476020114,,
2,0.1,0.8,0.5,0.3,0.0,2021-09-27,64.09547342578915,67.06798683214129,63.953262474007516,66.92079101850301,63.81129162835575,66.7738405092724,63.66956063604883,66.62713505095427,63.52806924433829,66.480674390086,63.38681720051266,66.33445827323729,63.24580425189762,66.18848644701096,63.10503014585597,66.04275865804266,,,,
3,5.0,0.8,0.5,0.3,0.0,2021-09-28,63.47528681179296,65.10661057021443,63.381529602714636,65.0414804819424,63.285833214602334,64.97538516671911,63.1881316522821,64.90829198823812,63.08835670701727,64.84016717766556,62.98643788998344,64.77097579482947,62.88230236451329,64.70068168821263,,,,,,
4,5.0,0.8,0.5,0.3,0.0,2021-09-29,63.624573429463766,65.32205606474511,63.530618342289465,65.25712099343268,63.43472026533711,65.19123087498629,63.33681307343,65.12435342895726,63.236828423388424,65.05645525455819,63.13469568736244,64.98750179221982,,,,,,,,
5,0.1,0.8,0.5,0.3,0.0,2021-09-30,64.07153527492548,66.99809887340945,63.92940738396901,66.85106134634293,63.78751939835732,66.70426885011145,63.64587106560773,66.5577211315169,63.50446213327393,66.4114179373937,,,,,,,,,,
6,5.0,0.8,0.5,0.3,0.0,2021-10-01,64.15590201009367,65.84869041179937,64.06177916476855,65.78304452652137,63.96571754895605,65.71642979392779,63.8676511728519,65.6488134617275,,,,,,,,,,,,
7,5.0,0.8,0.5,0.3,0.0,2021-10-04,64.68846483051585,66.33029018201884,64.59405287838158,66.2636285318945,64.49770237581816,66.19597349270502,,,,,,,,,,,,,,
8,5.0,0.8,0.5,0.3,0.0,2021-10-05,65.04600825061213,66.74742513673912,64.95091556866893,66.6810226318373,,,,,,,,,,,,,,,,
9,5.0,0.8,0.5,0.3,0.0,2021-10-06,65.16540404597913,66.88006565341811,,,,,,,,,,,,,,,,,,
