,S
2020-01-01,82.09999847412105
2020-01-02,77.83999633789061
2020-01-03,78.69000244140626
2020-01-06,78.56999969482422
2020-01-07,79.65000152587893
2020-01-08,80.09999847412108
2020-01-09,82.66999816894531
2020-01-10,84.02999877929689
2020-01-13,85.27999877929685
2020-01-14,85.91999816894533
2020-01-15,84.9800033569336
2020-01-16,86.16000366210938
2020-01-17,87.62999725341798
2020-01-20,88.19000244140624
2020-01-21,86.12999725341795
2020-01-22,86.12000274658203
2020-01-23,87.4700012207031
2020-01-24,86.66000366210935
2020-01-27,84.90000152587892
2020-01-28,84.4899978637695
2020-01-29,82.83999633789061
2020-01-30,82.16999816894528
2020-01-31,79.94000244140626
2020-02-03,80.98999786376952
2020-02-04,83.69000244140625
2020-02-05,85.08999633789062
2020-02-06,84.5
2020-02-07,86.38999938964844
2020-02-10,86.6100006103516
2020-02-11,85.58000183105472
2020-02-12,85.37999725341794
2020-02-13,85.13999938964845
2020-02-14,83.00000000000003
2020-02-17,83.05000305175784
2020-02-18,80.59999847412108
2020-02-19,82.20999908447266
2020-02-20,83.16000366210939
2020-02-21,82.44999694824217
2020-02-24,83.88999938964844
2020-02-25,84.30999755859372
2020-02-26,84.75000000000003
2020-02-27,85.8300018310547
2020-02-28,86.18000030517577
2020-03-02,83.29000091552736
2020-03-03,82.66000366210936
2020-03-04,81.58999633789061
2020-03-05,82.77999877929686
2020-03-06,80.76999664306642
2020-03-09,77.44999694824216
2020-03-10,73.69000244140624
2020-03-11,74.6999969482422
2020-03-12,72.97000122070312
2020-03-13,73.79000091552733
2020-03-16,75.31999969482425
2020-03-17,76.69000244140625
2020-03-18,75.91000366210939
2020-03-19,74.9899978637695
2020-03-20,78.12000274658205
2020-03-23,78.6500015258789
2020-03-24,78.27999877929688
2020-03-25,79.26999664306638
2020-03-26,79.76999664306642
2020-03-27,84.93000030517577
2020-03-30,84.94000244140622
2020-03-31,84.98999786376952
2020-04-01,85.12000274658203
2020-04-02,84.18000030517574
2020-04-03,85.61000061035158
2020-04-06,87.3300018310547
2020-04-07,86.08999633789061
2020-04-08,86.30999755859378
2020-04-09,84.76000213623045
2020-04-10,84.76999664306639
2020-04-13,83.12000274658206
2020-04-14,81.09999847412108
2020-04-15,81.6600036621094
2020-04-16,82.73000335693355
2020-04-17,80.76999664306642
2020-04-20,77.69000244140625
2020-04-21,78.37000274658205
2020-04-22,79.54000091552736
2020-04-23,79.30999755859374
2020-04-24,75.31999969482425
2020-04-27,72.33000183105467
2020-04-28,72.49999999999999
2020-04-29,75.30000305175781
2020-04-30,77.01000213623044
2020-05-01,77.44000244140628
2020-05-04,76.4100036621094
2020-05-05,74.98000335693358
2020-05-06,74.1699981689453
2020-05-07,75.23000335693358
2020-05-08,74.91000366210939
2020-05-11,76.95999908447264
2020-05-12,75.86000061035156
2020-05-13,75.58000183105469
2020-05-14,75.9899978637695
2020-05-15,76.83999633789062
2020-05-18,78.36000061035159
2020-05-19,76.26000213623044
2020-05-20,76.94999694824222
2020-05-21,73.54000091552736
2020-05-22,72.66000366210935
2020-05-25,74.27999877929689
2020-05-26,76.12999725341797
2020-05-27,76.70999908447268
2020-05-28,76.29000091552734
2020-05-29,76.94999694824222
2020-06-01,75.95999908447268
2020-06-02,74.79000091552737
2020-06-03,71.83999633789062
2020-06-04,74.29000091552733
2020-06-05,73.19999694824217
2020-06-08,75.66999816894533
2020-06-09,76.61000061035159
2020-06-10,75.90000152587889
2020-06-11,77.12000274658203
2020-06-12,74.13999938964841
2020-06-15,73.84999847412108
2020-06-16,74.18000030517581
2020-06-17,72.2600021362305
2020-06-18,74.02999877929688
2020-06-19,74.33999633789061
2020-06-22,74.90000152587889
2020-06-23,74.65000152587893
2020-06-24,76.65000152587889
2020-06-25,76.51999664306642
2020-06-26,78.47000122070315
2020-06-29,77.69000244140625
2020-06-30,79.40000152587888
2020-07-01,80.11000061035153
2020-07-02,81.36000061035158
2020-07-03,79.87000274658202
2020-07-06,78.50000000000003
2020-07-07,79.62999725341794
2020-07-08,79.45999908447263
2020-07-09,79.63999938964845
2020-07-10,81.0699996948242
2020-07-13,82.73999786376953
2020-07-14,83.63999938964847
2020-07-15,82.91999816894534
2020-07-16,84.2399978637695
2020-07-17,84.98999786376952
2020-07-20,85.55999755859376
2020-07-21,84.91000366210939
2020-07-22,83.19999694824219
2020-07-23,85.13999938964845
2020-07-24,86.23999786376952
2020-07-27,85.33999633789061
2020-07-28,86.16999816894531
2020-07-29,87.55000305175784
2020-07-30,86.40000152587888
2020-07-31,86.80999755859374
2020-08-03,86.20999908447266
2020-08-04,84.88999938964847
2020-08-05,83.44999694824222
2020-08-06,84.120002746582
2020-08-07,84.80000305175783
2020-08-10,84.45999908447264
2020-08-11,84.02999877929689
2020-08-12,83.20999908447263
2020-08-13,83.36000061035153
2020-08-14,84.4800033569336
2020-08-17,84.4199981689453
2020-08-18,85.48999786376952
2020-08-19,85.86000061035153
2020-08-20,86.86000061035155
2020-08-21,88.5500030517578
2020-08-24,90.04000091552733
2020-08-25,90.59999847412112
2020-08-26,89.91999816894527
2020-08-27,90.65000152587888
2020-08-28,90.63999938964844
2020-08-31,92.05999755859375
2020-09-01,91.879997253418
2020-09-02,93.69999694824219
2020-09-03,93.93000030517577
2020-09-04,94.43000030517578
2020-09-07,94.33999633789065
2020-09-08,93.52999877929685
2020-09-09,93.30000305175777
2020-09-10,93.26999664306642
2020-09-11,93.29000091552739
2020-09-14,93.95999908447266
2020-09-15,96.55000305175781
2020-09-16,95.37999725341795
2020-09-17,95.30999755859378
2020-09-18,90.70999908447268
2020-09-21,90.91999816894531
2020-09-22,85.80999755859375
2020-09-23,84.0699996948242
2020-09-24,84.58000183105473
2020-09-25,88.15000152587893
2020-09-28,87.65000152587893
2020-09-29,85.81999969482423
2020-09-30,85.99999999999997
2020-10-01,90.88999938964842
2020-10-02,89.65000152587888
2020-10-05,89.90000152587888
2020-10-06,91.50000000000003
2020-10-07,92.379997253418
2020-10-08,92.1600036621094
2020-10-09,89.83000183105466
2020-10-12,88.06999969482419
2020-10-13,90.12999725341797
2020-10-14,87.93000030517575
2020-10-15,90.48000335693357
2020-10-16,87.44999694824217
2020-10-19,87.41000366210935
2020-10-20,84.62999725341795
2020-10-21,86.8499984741211
2020-10-22,84.88999938964847
2020-10-23,85.18000030517578
2020-10-26,81.61000061035158
2020-10-27,79.54000091552736
2020-10-28,80.01000213623048
2020-10-29,81.43000030517581
2020-10-30,82.51999664306643
2020-11-02,82.47000122070315
2020-11-03,81.1800003051758
2020-11-04,77.41999816894528
2020-11-05,80.61000061035158
2020-11-06,82.31999969482423
2020-11-09,82.44999694824217
2020-11-10,81.95999908447267
2020-11-11,81.37000274658205
2020-11-12,80.58000183105467
2020-11-13,79.9800033569336
2020-11-16,81.68000030517581
2020-11-17,83.09999847412108
2020-11-18,82.83000183105466
2020-11-19,78.87999725341795
2020-11-20,78.02999877929688
2020-11-23,77.19999694824219
2020-11-24,74.30000305175781
2020-11-25,74.0500030517578
2020-11-26,75.83999633789064
2020-11-27,76.02999877929689
2020-11-30,73.23999786376953
2020-12-01,74.26000213623044
2020-12-02,76.61000061035159
2020-12-03,76.55000305175781
2020-12-04,77.9499969482422
2020-12-07,79.23000335693361
2020-12-08,79.6999969482422
2020-12-09,79.38999938964844
2020-12-10,79.06999969482425
2020-12-11,81.0699996948242
2020-12-14,79.65000152587893
2020-12-15,78.38999938964844
2020-12-16,77.04000091552733
