,S
2020-01-01,71.01218868319017
2020-01-02,71.01151663689001
2020-01-03,71.0262666682533
2020-01-06,71.00913355536679
2020-01-07,70.98864384620391
2020-01-08,71.01837401305205
2020-01-09,71.04553055557493
2020-01-10,71.03452486552587
2020-01-13,71.06297392871758
2020-01-14,71.02619583727751
2020-01-15,71.04446684677981
2020-01-16,71.06369671313605
2020-01-17,71.01078872864187
2020-01-20,70.97344402144148
2020-01-21,70.94967802321361
2020-01-22,70.90873812350873
2020-01-23,70.88314806219874
2020-01-24,70.89568861609675
2020-01-27,70.86317097228434
2020-01-28,70.79618365449616
2020-01-29,70.75757898400687
2020-01-30,70.75131346810055
2020-01-31,70.81447711835696
2020-02-03,70.83162737589542
2020-02-04,70.81629988304998
2020-02-05,70.82980286500194
2020-02-06,70.7946767703248
2020-02-07,70.81620138780495
2020-02-10,70.81982097907006
2020-02-11,70.83244517921368
2020-02-12,70.79737074808698
2020-02-13,70.91357343485659
2020-02-14,70.93096407783526
2020-02-17,70.94982561873707
2020-02-18,70.94593415480053
2020-02-19,70.96513989093619
2020-02-20,70.95345304350404
2020-02-21,70.96529280309153
2020-02-24,70.96283982925837
2020-02-25,71.03259721030508
2020-02-26,71.0638912240018
2020-02-27,71.01701093629799
2020-02-28,70.99016532520214
2020-03-02,71.05481371246819
2020-03-03,71.03197596600731
2020-03-04,71.02587506470923
2020-03-05,71.03396731238247
2020-03-06,71.02576084482783
2020-03-09,70.96170972734308
2020-03-10,70.94283868599754
2020-03-11,70.93565422944428
2020-03-12,70.85593181460212
2020-03-13,70.89950051447055
2020-03-16,70.8639751603212
2020-03-17,70.8587316942937
2020-03-18,70.85116192065624
2020-03-19,70.89574561843932
2020-03-20,70.93879522473799
2020-03-23,70.8940998602184
2020-03-24,70.8827253066968
2020-03-25,70.8916484964018
2020-03-26,70.85758700883437
2020-03-27,70.78433076546577
2020-03-30,70.66574961195211
2020-03-31,70.66972871087273
2020-04-01,70.63092273008668
2020-04-02,70.64125188301959
2020-04-03,70.61970103031487
2020-04-06,70.60956592755696
2020-04-07,70.6214226475893
2020-04-08,70.61859543232322
2020-04-09,70.6405325491564
2020-04-10,70.6939799931569
2020-04-13,70.72255585246212
2020-04-14,70.79540780649465
2020-04-15,70.81602422261068
2020-04-16,70.74860032991529
2020-04-17,70.77715313537459
2020-04-20,70.79599858711057
2020-04-21,70.77978781649261
2020-04-22,70.72001159169983
2020-04-23,70.72658721981892
2020-04-24,70.69182532990433
2020-04-27,70.68856181911693
2020-04-28,70.66000682615547
2020-04-29,70.6926778608435
2020-04-30,70.67432424111753
2020-05-01,70.58151000062209
2020-05-04,70.62347694547974
2020-05-05,70.58207382091811
2020-05-06,70.57822666344119
2020-05-07,70.53262022667613
2020-05-08,70.56373092223953
2020-05-11,70.56769231507981
2020-05-12,70.52708959885067
2020-05-13,70.57707620953242
2020-05-14,70.52588257122682
2020-05-15,70.48214371640833
2020-05-18,70.48260153397199
2020-05-19,70.5030504065539
2020-05-20,70.46924859343513
2020-05-21,70.4564843295547
2020-05-22,70.44040462634952
2020-05-25,70.36593082021983
2020-05-26,70.32081958962415
2020-05-27,70.39702199818673
2020-05-28,70.36873141698868
2020-05-29,70.38219474205289
2020-06-01,70.35445449547001
2020-06-02,70.38342580256825
2020-06-03,70.39244819614866
2020-06-04,70.29238020238228
2020-06-05,70.26533951015502
2020-06-08,70.24045121234323
2020-06-09,70.26267449588923
