,S
2020-01-01,8.677814971709084
2020-01-02,1.126366509346604
2020-01-03,4.044660916828275
2020-01-06,3.656774657971362
2020-01-07,4.837796680645349
2020-01-08,8.427686494082693
2020-01-09,2.8523580716133736
2020-01-10,5.931943212479229
2020-01-13,6.639140408167325
2020-01-14,0.457272939978977
2020-01-15,4.610571078558473
2020-01-16,0.26161213263556826
2020-01-17,0.7467815075662845
2020-01-20,-1.717025557710735
2020-01-21,4.284529508343136
2020-01-22,2.9032921492182266
2020-01-23,2.313557393791429
2020-01-24,7.285130591635186
2020-01-27,4.915648011485046
2020-01-28,4.628414488166024
2020-01-29,2.8205811149572484
2020-01-30,2.9467437003005905
2020-01-31,-0.48671261546504585
2020-02-03,3.0544401672372463
2020-02-04,4.580066719958066
2020-02-05,4.557787376206983
2020-02-06,0.7261704869709855
2020-02-07,8.631639639880337
2020-02-10,6.612968944260632
2020-02-11,5.5457853635911185
2020-02-12,5.460150205675119
2020-02-13,1.0588060587068333
2020-02-14,1.6407878541063938
2020-02-17,0.6405143015646293
2020-02-18,5.26155254982033
2020-02-19,1.9901808749486984
2020-02-20,-0.48720263701942024
2020-02-21,2.4733968212754807
2020-02-24,2.4857127801157994
2020-02-25,0.8803532469675095
2020-02-26,2.5021182617546205
2020-02-27,3.813857132750697
2020-02-28,-0.9647238389575854
2020-03-02,5.6272479005906995
2020-03-03,7.052286154945163
2020-03-04,4.7749580115609085
2020-03-05,4.938156277021274
2020-03-06,6.269493478669204
2020-03-09,6.990373457080678
2020-03-10,3.693885454300246
2020-03-11,5.883861411347548
2020-03-12,2.046368607738163
2020-03-13,8.815563753567046
2020-03-16,5.853071435067639
2020-03-17,6.470846799253044
2020-03-18,7.870500842730908
2020-03-19,2.1751495559951812
2020-03-20,6.91019417686379
2020-03-23,6.644808529848552
2020-03-24,3.96330867495581
2020-03-25,3.470238647468905
2020-03-26,0.20163071695907497
2020-03-27,2.467960116410407
2020-03-30,5.854197374227878
2020-03-31,8.987626025745184
2020-04-01,2.7048610419494254
2020-04-02,1.367758660159538
2020-04-03,-0.15987223763683467
2020-04-06,6.7340091399123185
2020-04-07,2.1473354583799287
2020-04-08,5.269380647941511
2020-04-09,2.4784521251583023
2020-04-10,4.7191050646808055
2020-04-13,3.669373775033503
2020-04-14,1.795627858030696
2020-04-15,3.002266059404734
2020-04-16,2.9192016786538226
2020-04-17,0.8771976796198802
2020-04-20,2.2146245160047786
2020-04-21,5.600308324807878
2020-04-22,4.354912720862664
2020-04-23,3.7237579525132083
2020-04-24,3.7642920021291837
2020-04-27,3.204614738437467
2020-04-28,3.756841637108366
2020-04-29,2.383287168945933
2020-04-30,7.102916836620919
2020-05-01,4.350174511662764
2020-05-04,5.18405414375284
2020-05-05,1.389027560068386
2020-05-06,3.658185142755842
2020-05-07,4.36119294616133
2020-05-08,4.056568234991045
